Sentence #,Word,POS,Tag
Sentence2,Composite,NNP,I-EDU
Sentence2,PUC,NNP,I-EDU
Sentence2,Dept,NNP,I-EDU
Sentence2,.,.,I-EDU
Sentence3,of,IN,I-EDU
Sentence3,PU,NNP,I-EDU
Sentence3,Education,NNP,I-EDU
Sentence3,2012,CD,I-EDU
Sentence3,69.67,CD,I-EDU
Sentence3,Bengaluru,NNP,I-EDU
Sentence3,P,NNP,B-EDU
Sentence3,U,NNP,I-EDU
Sentence3,College,NNP,I-EDU
Sentence3,",",",",I-EDU
Sentence3,Arasikere,NNP,I-EDU
Sentence3,Kodimatha,NNP,I-EDU
Sentence3,high,JJ,I-EDU
Sentence3,school,NN,I-EDU
Sentence3,",",",",I-EDU
Sentence3,SSLC,NNP,I-EDU
Sentence3,KSEEB,NNP,I-EDU
Sentence3,2010,CD,I-EDU
Sentence3,76,CD,I-EDU
Sentence3,Bengaluru,NNP,I-EDU
Sentence3,Banavara,NNP,I-EDU
Sentence3,Technical,NNP,O
Sentence3,Skills,NNP,O
Sentence3,:,:,O
Sentence3,·,NN,O
Sentence3,Languages,NNS,O
Sentence3,:,:,O
Sentence3,C,NNP,B-TECH
Sentence3,",",",",O
Sentence3,&,CC,O
Sentence3,JAVA,NNP,B-TECH
Sentence3,.,.,O
Sentence4,·,NN,O
Sentence4,Tools,NNS,O
Sentence4,Used,VBN,O
Sentence4,:,:,O
Sentence4,MAT-LAb,JJ,B-TECH
Sentence4,&,CC,O
Sentence4,Keli,NNP,B-TECH
Sentence4,uVision5,NN,B-TECH
Sentence4,.,.,O
Sentence5,.,.,O
Sentence6,Strengths,NNS,O
Sentence6,:,:,O
Sentence6,·,VB,O
Sentence6,Self,NNP,B-SOFT
Sentence6,Confidence,NNP,I-SOFT
Sentence6,&,CC,I-SOFT
Sentence6,hardworking,VBG,I-SOFT
Sentence6,.,.,O
Sentence7,·,VB,O
Sentence7,Willing,VBG,B-SOFT
Sentence7,to,TO,I-SOFT
Sentence7,learn,VB,I-SOFT
Sentence7,and,CC,I-SOFT
Sentence7,quick,VB,I-SOFT
Sentence7,learner,NN,I-SOFT
Sentence7,.,.,O
Sentence8,·,CC,O
Sentence8,Flexible,JJ,B-SOFT
Sentence8,to,TO,I-SOFT
Sentence8,work,VB,I-SOFT
Sentence8,in,IN,I-SOFT
Sentence8,any,DT,I-SOFT
Sentence8,environment,NN,I-SOFT
Sentence8,",",",",O
Sentence8,ambitious,JJ,B-SOFT
Sentence8,",",",",O
Sentence8,creative,JJ,B-SOFT
Sentence8,and,CC,I-SOFT
Sentence8,confident,JJ,I-SOFT
Sentence8,.,.,O
Sentence9,·,JJ,O
Sentence9,Passionate,NNP,B-SOFT
Sentence9,to,TO,I-SOFT
Sentence9,learn,VB,I-SOFT
Sentence9,new,JJ,I-SOFT
Sentence9,things,NNS,I-SOFT
Sentence9,",",",",O
Sentence9,punctual,JJ,B-SOFT
Sentence9,and,CC,I-SOFT
Sentence9,responsible,JJ,I-SOFT
Sentence9,.,.,O
Sentence10,Project,NN,O
Sentence10,:,:,O
Sentence10,·,JJ,O
Sentence10,Fake,NNP,O
Sentence10,note,NN,O
Sentence10,detection,NN,O
Sentence10,using,VBG,O
Sentence10,image,NN,O
Sentence10,processing,NN,O
Sentence10,.,.,O
Sentence11,Automatic,JJ,O
Sentence11,methods,NNS,O
Sentence11,for,IN,O
Sentence11,bank,NN,O
Sentence11,note,NN,O
Sentence11,recognition,NN,O
Sentence11,are,VBP,O
Sentence11,required,VBN,O
Sentence11,in,IN,O
Sentence11,many,JJ,O
Sentence11,applications,NNS,O
Sentence11,.,.,O
Sentence12,Automatic,NNP,O
Sentence12,method,NN,O
Sentence12,for,IN,O
Sentence12,detection,NN,O
Sentence12,of,IN,O
Sentence12,fake,JJ,O
Sentence12,currency,NN,O
Sentence12,note,NN,O
Sentence12,is,VBZ,O
Sentence12,very,RB,O
Sentence12,important,JJ,O
Sentence12,in,IN,O
Sentence12,every,DT,O
Sentence12,country,NN,O
Sentence12,.,.,O
Sentence13,In,IN,O
Sentence13,this,DT,O
Sentence13,project,NN,O
Sentence13,we,PRP,O
Sentence13,have,VBP,O
Sentence13,made,VBN,O
Sentence13,fake,JJ,O
Sentence13,currency,NN,O
Sentence13,note,NN,O
Sentence13,detection,NN,O
Sentence13,technique,NN,O
Sentence13,using,VBG,O
Sentence13,MATLAB,NNP,O
Sentence13,and,CC,O
Sentence13,feature,JJ,O
Sentence13,extraction,NN,O
Sentence13,with,IN,O
Sentence13,HSV,NNP,O
Sentence13,color,NN,O
Sentence13,space,NN,O
Sentence13,and,CC,O
Sentence13,other,JJ,O
Sentence13,applications,NNS,O
Sentence13,of,IN,O
Sentence13,image,NN,O
Sentence13,processing,NN,O
Sentence13,.,.,O
Sentence14,In,IN,O
Sentence14,the,DT,O
Sentence14,project,NN,O
Sentence14,setup,NN,O
Sentence14,",",",",O
Sentence14,note,NN,O
Sentence14,is,VBZ,O
Sentence14,placed,VBN,O
Sentence14,in,IN,O
Sentence14,front,NN,O
Sentence14,of,IN,O
Sentence14,camera,NN,O
Sentence14,to,TO,O
Sentence14,check,VB,O
Sentence14,whether,IN,O
Sentence14,it,PRP,O
Sentence14,is,VBZ,O
Sentence14,fake,JJ,O
Sentence14,or,CC,O
Sentence14,genuine,JJ,O
Sentence14,.,.,O
Sentence15,The,DT,O
Sentence15,camera,NN,O
Sentence15,pictures,VBZ,O
Sentence15,of,IN,O
Sentence15,notes,NNS,O
Sentence15,are,VBP,O
Sentence15,analyzed,VBN,O
Sentence15,by,IN,O
Sentence15,MATLAB,NNP,O
Sentence15,program,NN,O
Sentence15,installed,VBN,O
Sentence15,on,IN,O
Sentence15,computer,NN,O
Sentence15,.,.,O
Sentence16,·,CC,O
Sentence16,Completed,VBN,O
Sentence16,:,:,O
Sentence16,Java,NNP,B-TECH
Sentence16,And,CC,I-TECH
Sentence16,Testing,NNP,I-TECH
Sentence16,Course,NNP,I-TECH
Sentence16,Personal,NNP,O
Sentence16,Details,VBZ,O
Sentence16,:,:,O
Sentence16,Name,NN,O
Sentence16,:,:,O
Sentence16,Yashwantaha,NNP,B-PER
Sentence16,K,NNP,I-PER
Sentence16,S,NNP,I-PER
Sentence16,Date,NNP,O
Sentence16,of,IN,O
Sentence16,Birth,NNP,O
Sentence16,:,:,O
Sentence16,34530,JJ,O
Sentence16,Gender,NN,O
Sentence16,:,:,O
Sentence16,Male,JJ,O
Sentence16,Nationality,NN,O
Sentence16,:,:,O
Sentence16,Indian,JJ,O
Sentence16,Languages,NNP,O
Sentence16,known,VBN,O
Sentence16,:,:,O
Sentence16,Kannada,NNP,B-LANG
Sentence16,&,CC,O
Sentence16,English,NNP,B-LANG
Sentence16,.,.,O
Sentence17,Address,NN,O
Sentence17,:,:,O
Sentence17,S/O,NNP,O
Sentence17,Shivakumar,NNP,O
Sentence17,K,NNP,O
Sentence17,N,NNP,O
Sentence17,",",",",O
Sentence17,Kenchenahalli,NNP,O
Sentence17,(,(,O
Sentence17,v,NN,O
Sentence17,,,O
Sentence17,",",,O
Sentence17,,,O
Sentence17,",",",",O
Sentence17,Arakere,NNP,O
Sentence17,(,(,O
Sentence17,po,NN,O
Sentence17,,,O
Sentence17,",",,O
Sentence17,,,O
Sentence17,Arasikere,NNP,O
Sentence17,(,(,O
Sentence17,Tq,NNP,O
Sentence17,,,O
Sentence17,",",,O
Sentence17,,,O
Sentence17,Hassan,NNP,O
Sentence17,(,(,O
Sentence17,Dst,NNP,O
Sentence17,,,O
Sentence17,",",,O
Sentence17,,,O
Sentence17,–,VBD,O
Sentence17,573112,CD,O
Sentence17,.,.,O
Sentence18,Hobbies,NNS,O
Sentence18,:,:,O
Sentence18,Swimming,NN,B-HOB
Sentence18,",",",",O
Sentence18,Playing,NNP,B-HOB
Sentence18,Chess,NNP,I-HOB
Sentence18,&,CC,I-HOB
Sentence18,Cricket,NNP,I-HOB
Sentence18,.,.,O
Sentence19,Declaration,NN,O
Sentence19,:,:,O
Sentence19,I,PRP,O
Sentence19,hereby,VBP,O
Sentence19,declare,VB,O
Sentence19,that,IN,O
Sentence19,above,RB,O
Sentence19,mentioned,VBN,O
Sentence19,information,NN,O
Sentence19,is,VBZ,O
Sentence19,TRUE,JJ,O
Sentence19,to,TO,O
Sentence19,the,DT,O
Sentence19,best,JJS,O
Sentence19,of,IN,O
Sentence19,my,PRP$,O
Sentence19,knowledge,NN,O
Sentence19,and,CC,O
Sentence19,belief,NN,O
Sentence19,.,.,O
Sentence20,Date,NN,O
Sentence20,:,:,O
Sentence20,-,:,O
Sentence20,Place,NN,O
Sentence20,:,:,O
Sentence20,-,:,O
Sentence20,Bengaluru,NNP,O
Sentence20,(,(,O
Sentence20,YASHWANTHA,NNP,O
Sentence20,K,NNP,O
Sentence20,S,NNP,O
Sentence20,,,O
Sentence20,",",,O
Sentence20,,,O
Sentence20,BHAVANA,NNP,O
Sentence20,H.T,NNP,O
Sentence20,.,.,O
Sentence21,#,#,O
Sentence21,"101,2nd",CD,O
Sentence21,cross,NN,O
Sentence21,",",",",O
Sentence21,Kamath,NNP,B-PER
Sentence21,Layout,NNP,I-PER
Sentence21,",",",",O
Sentence21,Channanayakanapalya,NNP,O
Sentence21,",",",",O
Sentence21,Chikkabidarakallu,NNP,O
Sentence21,",",",",O
Sentence21,Bangalore,NNP,O
Sentence21,-,:,O
Sentence21,560073,CD,O
Sentence21,.,.,O
Sentence22,Contact,JJ,O
Sentence22,no,DT,O
Sentence22,:,:,O
Sentence22,\u200b,NN,O
Sentence22,91,VBZ,O
Sentence22,9663791011,CD,O
Sentence22,91,NN,O
Sentence22,9844543031,CD,O
Sentence22,Email,NN,O
Sentence22,:,:,O
Sentence22,bbhavana.21114,JJ,O
Sentence22,@,NNP,O
Sentence22,gmail.com,NN,O
Sentence22,Career,NNP,O
Sentence22,objective,NN,O
Sentence22,:,:,O
Sentence22,To,TO,O
Sentence22,enhance,VB,O
Sentence22,my,PRP$,O
Sentence22,working,VBG,O
Sentence22,capabilities,NNS,O
Sentence22,",",",",O
Sentence22,professional,JJ,O
Sentence22,skills,NNS,O
Sentence22,",",",",O
Sentence22,business,NN,O
Sentence22,efficiencies,NNS,O
Sentence22,and,CC,O
Sentence22,to,TO,O
Sentence22,serve,VB,O
Sentence22,my,PRP$,O
Sentence22,organisation,NN,O
Sentence22,in,IN,O
Sentence22,best,JJS,O
Sentence22,possible,JJ,O
Sentence22,way,NN,O
Sentence22,with,IN,O
Sentence22,sheer,NN,O
Sentence22,determination,NN,O
Sentence22,and,CC,O
Sentence22,commitment,NN,O
Sentence22,.,.,O
Sentence23,Academic,NNP,O
Sentence23,details,NNS,O
Sentence23,:,:,O
Sentence23,Course,NNP,O
Sentence23,University,NNP,O
Sentence23,Institution,NNP,O
Sentence23,Batch,NNP,O
Sentence23,Aggregat,NNP,O
Sentence23,e,VBD,O
Sentence23,Bachelor,NNP,B-EDU
Sentence23,of,IN,I-EDU
Sentence23,Engineering,NNP,I-EDU
Sentence23,Electronics,NNP,I-EDU
Sentence23,and,CC,I-EDU
Sentence23,Communication,NNP,I-EDU
Sentence23,Visvesvaraya,NNP,I-EDU
Sentence23,Technological,NNP,I-EDU
Sentence23,University,NNP,I-EDU
Sentence23,Sapthagiri,NNP,I-EDU
Sentence23,College,NNP,I-EDU
Sentence23,of,IN,I-EDU
Sentence23,Engineering,NNP,I-EDU
Sentence23,-2012,JJ,I-EDU
Sentence23,2016,CD,I-EDU
Sentence23,73.13,CD,I-EDU
Sentence23,%,NN,I-EDU
Sentence23,Pre-University,NNP,B-EDU
Sentence23,Course,NNP,I-EDU
Sentence23,Department,NNP,I-EDU
Sentence23,Of,IN,I-EDU
Sentence23,Pre-University,NNP,I-EDU
Sentence23,Education,NNP,I-EDU
Sentence23,MPL,NNP,I-EDU
Sentence23,Sastry,NNP,I-EDU
Sentence23,Ind,NNP,I-EDU
Sentence23,.,.,O
Sentence24,PU,NNP,B-EDU
Sentence24,College,NNP,I-EDU
Sentence24,-2010,JJ,I-EDU
Sentence24,2012,CD,I-EDU
Sentence24,80.5,CD,I-EDU
Sentence24,%,NN,I-EDU
Sentence24,Secondary,JJ,B-EDU
Sentence24,School,NNP,I-EDU
Sentence24,Leaving,NNP,I-EDU
Sentence24,Certificate,NNP,I-EDU
Sentence24,Karnataka,NNP,I-EDU
Sentence24,Secondary,NNP,I-EDU
Sentence24,Education,NNP,I-EDU
Sentence24,Examination,NNP,I-EDU
Sentence24,Board,NNP,I-EDU
Sentence24,Sri,NNP,I-EDU
Sentence24,Vani,NNP,I-EDU
Sentence24,Girls,NNP,I-EDU
Sentence24,High,NNP,I-EDU
Sentence24,School,NNP,I-EDU
Sentence24,2010,CD,I-EDU
Sentence24,91.04,CD,I-EDU
Sentence24,%,NN,I-EDU
Sentence24,Technical,JJ,O
Sentence24,Skills,NNP,O
Sentence24,:,:,O
Sentence24,Programming,VBG,O
Sentence24,languages,NNS,O
Sentence24,:,:,O
Sentence24,Basic,NNP,B-TECH
Sentence24,knowledge,NN,I-TECH
Sentence24,of,IN,I-TECH
Sentence24,C,NNP,I-TECH
Sentence24,",",",",O
Sentence24,C,NNP,B-TECH
Sentence24,#,#,I-TECH
Sentence24,●,JJ,O
Sentence24,Course,NN,O
Sentence24,:,:,O
Sentence24,Software,NNP,O
Sentence24,development,NN,O
Sentence24,fundamentals,NNS,O
Sentence24,Project,NN,O
Sentence24,:,:,O
Sentence24,Project,JJ,O
Sentence24,title,NN,O
Sentence24,:,:,O
Sentence24,\u200bBrain,VB,O
Sentence24,tumour,JJ,O
Sentence24,extraction,NN,O
Sentence24,from,IN,O
Sentence24,MRI,NNP,O
Sentence24,image,NN,O
Sentence24,using,VBG,O
Sentence24,MATLAB,NNP,O
Sentence24,.,.,O
Sentence25,Overview,NN,O
Sentence25,:,:,O
Sentence25,\u200bA,NN,O
Sentence25,project,NN,O
Sentence25,in,IN,O
Sentence25,which,WDT,O
Sentence25,systems,NNS,O
Sentence25,main,JJ,O
Sentence25,objective,JJ,O
Sentence25,is,VBZ,O
Sentence25,detection,NN,O
Sentence25,of,IN,O
Sentence25,tumour,NN,O
Sentence25,.,.,O
Sentence26,The,DT,O
Sentence26,system,NN,O
Sentence26,includes,VBZ,O
Sentence26,test,IN,O
Sentence26,the,DT,O
Sentence26,brain,NN,O
Sentence26,image,NN,O
Sentence26,process,NN,O
Sentence26,",",",",O
Sentence26,image,NN,O
Sentence26,filtering,NN,O
Sentence26,",",",",O
Sentence26,segmentation,NN,O
Sentence26,",",",",O
Sentence26,morphological,JJ,O
Sentence26,operation,NN,O
Sentence26,",",",",O
Sentence26,calculation,NN,O
Sentence26,of,IN,O
Sentence26,tumour,JJ,O
Sentence26,location,NN,O
Sentence26,.,.,O
Sentence27,The,DT,O
Sentence27,detailed,JJ,O
Sentence27,procedures,NNS,O
Sentence27,are,VBP,O
Sentence27,implemented,VBN,O
Sentence27,using,VBG,O
Sentence27,MATLAB,NNP,O
Sentence27,.,.,O
Sentence28,Areas,NNP,O
Sentence28,of,IN,O
Sentence28,Strengths,NNP,O
Sentence28,:,:,O
Sentence28,●,JJ,O
Sentence28,Goal,NNP,B-SOFT
Sentence28,oriented,VBD,I-SOFT
Sentence28,",",",",O
Sentence28,hardworking,VBG,B-SOFT
Sentence28,and,CC,I-SOFT
Sentence28,sincere,JJ,I-SOFT
Sentence28,●,NNP,O
Sentence28,Effective,NNP,B-SOFT
Sentence28,communication,NN,I-SOFT
Sentence28,skills,NNS,I-SOFT
Sentence28,and,CC,I-SOFT
Sentence28,leadership,NN,I-SOFT
Sentence28,qualities,NNS,I-SOFT
Sentence28,●,VBP,O
Sentence28,Dedicated,VBN,B-SOFT
Sentence28,and,CC,I-SOFT
Sentence28,disciplined,VBN,I-SOFT
Sentence28,Accomplishments,NNS,I-SOFT
Sentence28,and,CC,I-SOFT
Sentence28,Achievements,NNS,I-SOFT
Sentence28,:,:,O
Sentence28,●,NN,O
Sentence28,Cleared,NNP,B-ACH
Sentence28,Microsoft,NNP,I-ACH
Sentence28,Certification,NNP,I-ACH
Sentence28,exam,NN,I-ACH
Sentence28,on,IN,I-ACH
Sentence28,Software,NNP,I-ACH
Sentence28,Development,NNP,I-ACH
Sentence28,Fundamentals,NNP,I-ACH
Sentence28,MTA,NNP,I-ACH
Sentence28,98-361,CD,I-ACH
Sentence28,.,.,O
Sentence29,●,NN,O
Sentence29,Submitted,VBD,B-ACH
Sentence29,a,DT,I-ACH
Sentence29,paper,NN,I-ACH
Sentence29,on,IN,I-ACH
Sentence29,“,NNP,I-ACH
Sentence29,Wireless,NNP,I-ACH
Sentence29,Projector,NNP,I-ACH
Sentence29,”,NNP,I-ACH
Sentence29,at,IN,I-ACH
Sentence29,technical,JJ,I-ACH
Sentence29,seminar,NN,I-ACH
Sentence29,held,VBD,I-ACH
Sentence29,at,IN,I-ACH
Sentence29,college,NN,I-ACH
Sentence29,.,.,O
Sentence30,●,JJ,O
Sentence30,Active,JJ,B-HOB
Sentence30,participation,NN,I-HOB
Sentence30,in,IN,I-HOB
Sentence30,organizing,VBG,I-HOB
Sentence30,cultural,JJ,I-HOB
Sentence30,events,NNS,I-HOB
Sentence30,and,CC,I-HOB
Sentence30,technical,JJ,I-HOB
Sentence30,activities,NNS,I-HOB
Sentence30,in,IN,I-HOB
Sentence30,college,NN,I-HOB
Sentence30,.,.,O
Sentence31,Areas,NNP,O
Sentence31,of,IN,O
Sentence31,interests,NNS,O
Sentence31,:,:,O
Sentence31,Painting,NN,B-HOB
Sentence31,",",",",O
Sentence31,singing,NN,B-HOB
Sentence31,.,.,O
Sentence32,Personal,JJ,O
Sentence32,details,NNS,O
Sentence32,:,:,O
Sentence32,Name,NN,O
Sentence32,:,:,O
Sentence32,Bhavana,NNP,B-PER
Sentence32,H.T,NNP,I-PER
Sentence32,.,.,O
Sentence33,DOB,NN,O
Sentence33,:,:,O
Sentence33,34673,JJ,O
Sentence33,Gender,NN,O
Sentence33,:,:,O
Sentence33,Female,JJ,O
Sentence33,Nationality,NN,O
Sentence33,:,:,O
Sentence33,Indian,JJ,O
Sentence33,Father,NNP,O
Sentence33,’,NNP,O
Sentence33,s,VBD,O
Sentence33,name,NN,O
Sentence33,:,:,O
Sentence33,Thammanna,NNP,O
Sentence33,Gowda,NNP,O
Sentence33,H.C,NNP,O
Sentence33,.,.,O
Sentence34,Languages,NNP,O
Sentence34,known,VBN,O
Sentence34,:,:,O
Sentence34,English,JJ,B-LANG
Sentence34,",",",",O
Sentence34,Kannada,NNP,B-LANG
Sentence34,",",",",O
Sentence34,Hindi,NNP,B-LANG
Sentence34,Residential,NNP,O
Sentence34,Address,NNP,O
Sentence34,:,:,O
Sentence34,#,#,O
Sentence34,"101,2nd",CD,O
Sentence34,cross,NN,O
Sentence34,",",",",O
Sentence34,Kamath,NNP,O
Sentence34,Layout,NNP,O
Sentence34,",",",",O
Sentence34,Channanayakanapalya,NNP,O
Sentence34,",",",",O
Sentence34,Chikkabidarakallu,NNP,O
Sentence34,",",",",O
Sentence34,Bangalore-560073,NNP,O
Sentence34,.,.,O
Sentence35,Declaration,NN,O
Sentence35,:,:,O
Sentence35,I,PRP,O
Sentence35,hereby,VBP,O
Sentence35,declare,VB,O
Sentence35,that,IN,O
Sentence35,all,PDT,O
Sentence35,the,DT,O
Sentence35,above,JJ,O
Sentence35,given,VBN,O
Sentence35,information,NN,O
Sentence35,is,VBZ,O
Sentence35,TRUE,JJ,O
Sentence35,and,CC,O
Sentence35,correct,JJ,O
Sentence35,to,TO,O
Sentence35,the,DT,O
Sentence35,best,JJS,O
Sentence35,of,IN,O
Sentence35,my,PRP$,O
Sentence35,knowledge,NN,O
Sentence35,.,.,O
Sentence36,Place,NN,O
Sentence36,:,:,O
Sentence36,\u200bBangalore,NN,O
Sentence36,(,(,O
Sentence36,BhavanaH.T,NNP,O
Sentence36,.,.,O
Sentence37,,,O
Sentence37,",",,O
Sentence37,,,O
Sentence37,\u200b,NN,O
Sentence37,Date,NNP,O
Sentence37,:,:,O
Sentence37,ILIYAS,NNP,B-PER
Sentence37,ABDULRAJAK,NNP,I-PER
Sentence37,PATAYIT,NNP,I-PER
Sentence37,S/o,NNP,O
Sentence37,Abdulrajak.M.Patayit,NNP,B-PER
Sentence37,919242197916,NNP,O
Sentence37,Sector,NNP,O
Sentence37,no.15,NN,O
Sentence37,",",",",O
Sentence37,plot,NN,O
Sentence37,no,DT,O
Sentence37,49,CD,O
Sentence37,pataitiliyas,NN,O
Sentence37,@,NNP,O
Sentence37,gmail.com,NN,O
Sentence37,Shankar,NNP,O
Sentence37,Nagar,NNP,O
Sentence37,",",",",O
Sentence37,Athani,NNP,O
Sentence37,BELGAVI,NNP,O
Sentence37,(,(,O
Sentence37,DIST,NNP,O
Sentence37,,,O
Sentence37,",",,O
Sentence37,,,O
Sentence37,-591304,VBP,O
Sentence37,CAREER,NNP,O
Sentence37,OBJECTIVE,NNP,O
Sentence37,Eager,NNP,O
Sentence37,to,TO,O
Sentence37,work,VB,O
Sentence37,in,IN,O
Sentence37,an,DT,O
Sentence37,esteemed,JJ,O
Sentence37,organization,NN,O
Sentence37,that,WDT,O
Sentence37,provides,VBZ,O
Sentence37,opportunities,NNS,O
Sentence37,to,TO,O
Sentence37,prove,VB,O
Sentence37,my,PRP$,O
Sentence37,skills,NNS,O
Sentence37,and,CC,O
Sentence37,to,TO,O
Sentence37,learn,VB,O
Sentence37,new,JJ,O
Sentence37,skills,NNS,O
Sentence37,and,CC,O
Sentence37,also,RB,O
Sentence37,to,TO,O
Sentence37,full,JJ,O
Sentence37,fill,VB,O
Sentence37,the,DT,O
Sentence37,organization,NN,O
Sentence37,objects,NNS,O
Sentence37,and,CC,O
Sentence37,my,PRP$,O
Sentence37,personal,JJ,O
Sentence37,objects,NNS,O
Sentence37,.,.,O
Sentence38,ACADEMIC,NNP,O
Sentence38,PROFILE,NNP,O
Sentence38,Course,NNP,O
Sentence38,Discipline/Specialization,NNP,O
Sentence38,School/,NNP,O
Sentence38,College,NNP,O
Sentence38,Name,NNP,O
Sentence38,(,(,O
Sentence38,Location,NNP,O
Sentence38,,,O
Sentence38,",",,O
Sentence38,,,O
Sentence38,Board/,NNP,O
Sentence38,University,NNP,O
Sentence38,Year,NNP,O
Sentence38,of,IN,O
Sentence38,Passing,NNP,O
Sentence38,Aggregate,NNP,O
Sentence38,Percentage,NNP,O
Sentence38,MCA,NNP,B-EDU
Sentence38,Masters,NNP,I-EDU
Sentence38,Computer,NNP,I-EDU
Sentence38,Application,NNP,I-EDU
Sentence38,REVA,NNP,I-EDU
Sentence38,college,NN,I-EDU
Sentence38,of,IN,I-EDU
Sentence38,technology,NN,I-EDU
Sentence38,(,(,I-EDU
Sentence38,banglore,NN,I-EDU
Sentence38,,,I-EDU
Sentence38,",",,I-EDU
Sentence38,,,I-EDU
Sentence38,VTU,NNP,I-EDU
Sentence38,2016,CD,I-EDU
Sentence38,69.010000000000005,CD,I-EDU
Sentence38,BCA,NNP,B-EDU
Sentence38,Bachelors,NNPS,I-EDU
Sentence38,Computer,NNP,I-EDU
Sentence38,Application,NNP,I-EDU
Sentence38,S,NNP,I-EDU
Sentence38,S,NNP,I-EDU
Sentence38,M,NNP,I-EDU
Sentence38,S,NNP,I-EDU
Sentence38,BCA,NNP,I-EDU
Sentence38,College,NNP,I-EDU
Sentence38,(,(,I-EDU
Sentence38,Athani,NNP,I-EDU
Sentence38,,,I-EDU
Sentence38,",",,I-EDU
Sentence38,,,I-EDU
Sentence38,RCU,NNP,I-EDU
Sentence38,2013,CD,I-EDU
Sentence38,72.02,CD,I-EDU
Sentence38,%,NN,I-EDU
Sentence38,Intermediate,NNP,B-EDU
Sentence38,PUC,NNP,I-EDU
Sentence38,S,NNP,I-EDU
Sentence38,S,NNP,I-EDU
Sentence38,M,NNP,I-EDU
Sentence38,S,NNP,I-EDU
Sentence38,PU,NNP,I-EDU
Sentence38,College,NNP,I-EDU
Sentence38,(,(,I-EDU
Sentence38,Athani,NNP,I-EDU
Sentence38,,,I-EDU
Sentence38,",",,I-EDU
Sentence38,,,I-EDU
Sentence38,PUKB,NNP,I-EDU
Sentence38,2010,CD,I-EDU
Sentence38,47.83,CD,I-EDU
Sentence38,%,NN,I-EDU
Sentence38,S.S.L.C,NNP,B-EDU
Sentence38,General,NNP,I-EDU
Sentence38,S.M.S.D,NNP,I-EDU
Sentence38,High,NNP,I-EDU
Sentence38,School,NNP,I-EDU
Sentence38,(,(,I-EDU
Sentence38,Athani,NNP,I-EDU
Sentence38,,,I-EDU
Sentence38,",",,I-EDU
Sentence38,,,I-EDU
Sentence38,K.S.E.B,NNP,I-EDU
Sentence38,2008,CD,I-EDU
Sentence38,70.08,CD,I-EDU
Sentence38,%,NN,I-EDU
Sentence38,TECHNICAL,NNP,O
Sentence38,SKILLS,NNP,O
Sentence38,·,NNP,O
Sentence38,C,NNP,B-TECH
Sentence38,",",",",O
Sentence38,C++,NNP,B-TECH
Sentence38,",",",",O
Sentence38,PHP,NNP,B-TECH
Sentence38,",",",",O
Sentence38,HTML,NNP,B-TECH
Sentence38,",",",",O
Sentence38,BOOTSTRAP,NNP,B-TECH
Sentence38,",",",",O
Sentence38,MYSQL,NNP,B-TECH
